;Paramètre;VIF;cos_teta;R_2;Teta
0;EX__INST_2014041921_JAS2;5277228.692115125;0.9999999052532962;0.9999998105066014;0.024941334601067556
1;EY__INST_2014041921_JAS2;3813630.3642970864;0.9999998688913228;0.9999997377826626;0.029339543541676536
2;EZ__INST_2014041921_JAS2;5886649.233623783;0.9999999150620326;0.9999998301240722;0.023615033466305682
3;EXP_INST_2014041921_JAS2;5606158.737526864;0.999999910812368;0.999999821624744;0.02419858379527181
4;EYP_INST_2014041921_JAS2;183097.3228967011;0.9999972692081196;0.9999945384236963;0.13390044813702104
5;EZP_INST_2014041921_JAS2;3279613.531239588;0.9999998475430006;0.9999996950860245;0.03163816740312994
6;FD_______2014042003_JAS2;20011024.278565727;0.9999999750137725;0.9999999500275455;0.0128081963402066
7;FD_______2014042015_JAS2;434597.08951135585;0.9999988495084304;0.9999976990181846;0.08691192961173363
8;FD_______2014042103_JAS2;20947934.65851618;0.9999999761312982;0.999999952262597;0.012518492411128809
9;FS_______2014042009_JAS2;1100590.2441909516;0.999999545698214;0.9999990913966345;0.054614739781878044
10;BTS____201404192100_JAS2;631729.8094763418;0.9999992085220765;0.9999984170447793;0.07208701819353068
11;BTC____201404192100_JAS2;396704.7780863039;0.9999987396161006;0.9999974792337899;0.09096809481824653
12;BNS____201404192100_JAS2;103.32894448592992;0.9951493202537052;0.9903221696014115;5.6456589567047075
13;BNC____201404192100_JAS2;196.92306042475394;0.9974577056570127;0.9949218745745518;4.086416201082113
14;BX_____201404192100_JAS2;510230.0589697619;0.9999990200494145;0.9999980400997894;0.08021207552540788
15;BY_____201404192100_JAS2;23547623.15891791;0.9999999787664342;0.9999999575328689;0.011807259196813144
16;PX_______2014042012_____;108.64536692205246;0.9953872321294741;0.9907957418863756;5.5053573398368085
17;PY_______2014042012_____;88.57542290762953;0.9943390702169747;0.9887101865599576;6.099392804682074
18;SX__2014042310002GR4B___;1025.716359720637;0.9995124169359777;0.9990250716091997;1.7892852594644169
19;SY__2014042310002GR4B___;1968.5600732317678;0.999745974978807;0.9994920144863254;1.2914722303659962
20;SZ__2014042310002GR4B___;969.6166801749993;0.99948419927826;0.9989686646069047;1.8403366376884658
21;SX__2014042310003TLSB___;1040.3038774559325;0.9995192556465253;0.9990387424081841;1.776691916776905
22;SY__2014042310003TLSB___;1918.3641514996466;0.9997393272928496;0.9994787225359595;1.3082623581046746
23;SZ__2014042310003TLSB___;935.0322298590705;0.999465116024031;0.9989305181489297;1.8740742091957037
24;SX__2014042310202REZB___;1722.412566288118;0.999709667356424;0.9994194190058918;1.3806896603809318
25;SY__2014042310202REZB___;989.8317737787396;0.9994947360135684;0.9989897273188327;1.821440924531784
26;SZ__2014042310202REZB___;858.6472281668598;0.9994175190389528;0.9988353773619756;1.9556880428685297
27;SX__2014042310317SPJB___;18520.344760707416;0.9999730022979606;0.9999460053247972;0.4210193023760737
28;SY__2014042310317SPJB___;5551.014228399848;0.9999099223133174;0.9998198527406246;0.7690410150119718
29;SZ__2014042310317SPJB___;32067.46904915817;0.9999844077529996;0.9999688157491173;0.31995768621123183
30;SX__2014042310503MEUB___;1092.9992215149982;0.9995424384512641;0.9990850862650992;1.733320813440605
31;SY__2014042310503MEUB___;812.0701887171856;0.9993841000083759;0.9987685793495514;2.0110136665824188
32;SZ__2014042310503MEUB___;567.1812805916163;0.9991180587235393;0.9982368952674938;2.406519517942283
33;SX__2014042312334KIUB___;3428.0820775349957;0.9998541352110167;0.9997082916985701;0.9786291402724054
34;SY__2014042312334KIUB___;1929.4374444992507;0.999740823521414;0.9994817142152751;1.3045021614178984
35;SZ__2014042312334KIUB___;1576.4368303546294;0.9996827787144572;0.9993656580582585;1.443212467359963
36;SX__2014042312338BADB___;2297.7995936650173;0.9997823768386549;0.9995648010371501;1.1953581970895948
37;SY__2014042312338BADB___;1952.548910456136;0.999743891672775;0.9994878489370254;1.296757442784265
38;SZ__2014042312338BADB___;1193.4265938470269;0.9995809505277481;0.9991620766579564;1.6587672274075806
39;SX__2014042312349KRBB___;1401.509670444846;0.9996431781871241;0.9992864836960543;1.530651222127297
40;SY__2014042312349KRBB___;1611.0363618668507;0.9996895925965834;0.9993792815459229;1.427627484533279
41;SZ__2014042312349KRBB___;804.6363025801194;0.9993784080525634;0.998757202481676;2.020285834780519
42;SX__2014042312602DIOB___;1840.116761493386;0.9997282411858851;0.9994565562246233;1.3357933754981834
43;SY__2014042312602DIOB___;2855.1538088977295;0.9998248627493942;0.9996497561718449;1.0723417939074322
44;SZ__2014042312602DIOB___;1559.1676720212556;0.9996792646450581;0.9993586321612841;1.451184584430915
45;SX__2014042321501EVEB___;8007.177318439266;0.999937554072792;0.9998751120450777;0.6403124549057025
46;SY__2014042321501EVEB___;2150.2462686628837;0.9997674414537137;0.9995349369909048;1.2356975886227821
47;SZ__2014042321501EVEB___;3218.203891411534;0.9998446217628063;0.9996892676680093;1.0100394778382644
48;SX__2014042321602JIVB___;3342.726404176995;0.9998504103118956;0.9997008430008659;0.9910461359200756
49;SY__2014042321602JIVB___;1958.9104641663293;0.9997447234897042;0.9994895121455051;1.2946497642589179
50;SZ__2014042321602JIVB___;1589.64383765956;0.9996854146527278;0.9993709282693963;1.4372034836892524
51;SX__2014042322006MANB___;4479.936056904683;0.9998883850351998;0.9997767825282999;0.8560573947475077
52;SY__2014042322006MANB___;2624.509132073189;0.9998094700334935;0.9996189763686553;1.1184747174749345
53;SZ__2014042322006MANB___;2428.8543251458887;0.9997941204336491;0.9995882832536941;1.1626572496505765
54;SX__2014042322901MALB___;5878.374497184098;0.9999149388548773;0.9998298849451529;0.7473195115522168
55;SY__2014042322901MALB___;1702.7534932793887;0.9997063148400243;0.9994127159310218;1.388638687810823
56;SZ__2014042322901MALB___;2282.7050749880414;0.9997809376353216;0.9995619232589628;1.199304447927022
57;SX__2014042323101CIDB___;5751.625349179022;0.9999130642723543;0.9998261361025292;0.7555094890176035
58;SY__2014042323101CIDB___;1920.317229149232;0.9997395924471357;0.9994792527063651;1.3075967826811918
59;SZ__2014042323101CIDB___;2186.913203085856;0.9997713410982401;0.9995427344813735;1.2252930288645276
60;SX__2014042330302HBMB___;1813.7488699150701;0.9997242898698212;0.9994486557557184;1.345469851153201
61;SY__2014042330302HBMB___;3403.5815434334077;0.9998530851325188;0.9997061918490159;0.9821454776945355
62;SZ__2014042330302HBMB___;1476.8138021925347;0.9996613759503021;0.9993228665668513;1.4911069204641179
63;SX__2014042330602ASEB___;2285.3147788666606;0.9997811878198772;0.9995624235185246;1.1986193824708147
64;SY__2014042330602ASEB___;8295.109831448439;0.9999397217058981;0.9998794470452689;0.6291008737484923
65;SZ__2014042330602ASEB___;2905.3547963327105;0.9998278891679453;0.999655807958029;1.0630359734361035
66;SX__2014042330604TRJB___;2005.0868165530007;0.9997506031395436;0.9995012684778811;1.2796527892691567
67;SY__2014042330604TRJB___;4274.8932988543365;0.9998830311755266;0.999766076032759;0.8763486585830063
68;SZ__2014042330604TRJB___;1876.1519908481102;0.9997334615500592;0.9994669941428637;1.322900592395601
69;SX__2014042330606HEMB___;1264.8991337285145;0.9996046334068414;0.9992094231284258;1.6112091712708618
70;SY__2014042330606HEMB___;4769.841173928749;0.9998951692119638;0.9997903494134216;0.8296326772016634
71;SZ__2014042330606HEMB___;1637.5867243879995;0.9996946260325008;0.9993893453182617;1.4160046792688261
72;SX__2014042331906PDMB___;1237.4667080522324;0.9995958670642213;0.9991918974518724;1.6289748539004443
73;SY__2014042331906PDMB___;1972.4970903499109;0.9997464820658215;0.999493028402986;1.2901825077117297
74;SZ__2014042331906PDMB___;1009.3764500484356;0.9995045219252048;0.9990092893489322;1.803714450052691
75;SX__2014042332809LICB___;2105.6763243748615;0.9997625184024432;0.9995250932023957;1.2487088975749594
76;SY__2014042332809LICB___;9208.777895420575;0.9999457025046732;0.9998914079575644;0.5970758336148309
77;SZ__2014042332809LICB___;3110.6669983587262;0.9998392498486556;0.9996785255379224;1.027351698778937
78;SX__2014042339601SALB___;1520.251362362312;0.9996710529175112;0.9993422140412056;1.4696453856151261
79;SY__2014042339601SALB___;3456.1127950025957;0.9998553183293794;0.9997106575915444;0.9746521025809247
80;SZ__2014042339601SALB___;1567.2897475059156;0.9996809270386895;0.9993619558849336;1.4474187028373287
81;SX__2014042339901DJIB___;3537.0147864280684;0.999858627861141;0.9997172757083637;0.963439972853504
82;SY__2014042339901DJIB___;3843.905433840264;0.9998699154982225;0.9997398479184226;0.9241769174682154
83;SZ__2014042339901DJIB___;2543.0071101449867;0.9998033630491726;0.9996067647644356;1.136258938341397
84;SX__2014042340101STKB___;1922.1424322494677;0.9997398397537388;0.9994797471908313;1.3069757020746473
85;SY__2014042340101STKB___;1398.946508917153;0.99964252429831;0.9992851763854974;1.5320531504084394
86;SZ__2014042340101STKB___;1049.6945519169376;0.9995235574595455;0.9990473419165853;1.7687242923292588
87;SX__2014042340127YEMB___;1287.9199905131397;0.9996117017383845;0.9992235542523091;1.5967407441135548
88;SY__2014042340127YEMB___;1954.2996561039722;0.9997441211349858;0.9994883077439651;1.2961763679535765
89;SZ__2014042340127YEMB___;991.1807882040424;0.9994954238602891;0.998991102317659;1.8202005785475541
90;SX__2014042340424KOLB___;2107.829822725109;0.9997627610581366;0.9995255783985886;1.248070751807093
91;SY__2014042340424KOLB___;5594.361301263962;0.9999106202980113;0.9998212485847537;0.7660556432329683
92;SZ__2014042340424KOLB___;2461.244739290902;0.9997968301202853;0.9995937015185706;1.1549804821689689
93;SX__2014042340451GRFB___;3328.865448668101;0.9998497873934279;0.9996995973506829;0.9931074913091031
94;SY__2014042340451GRFB___;1328.1121239765116;0.9996234548687711;0.999247051523778;1.5723882038355221
95;SZ__2014042340451GRFB___;1413.2821983830754;0.9996461510104114;0.9992924272299304;1.5242612785479916
96;SX__2014042341507RIRB___;1770.1875199072426;0.9997175041466984;0.9994350880973037;1.3619271990986697
97;SY__2014042341507RIRB___;1596.6481295852836;0.9996867949147535;0.9993736879269325;1.4340469446022193
98;SZ__2014042341507RIRB___;999.656482473128;0.999499703033687;0.9989996563644283;1.8124651843850574
99;SX__2014042341609CADB___;3924.8570238113716;0.9998725987088656;0.9997452136488201;0.9145957013068545
100;SY__2014042341609CADB___;3805.6143039148774;0.9998686065348215;0.9997372303338856;0.9288151032687484
101;SZ__2014042341609CADB___;2181.239720328791;0.9997707462800444;0.9995415451173568;1.2268857528565507
102;SX__2014042341703EASB___;5466.484070974826;0.9999085293467945;0.9998170670604695;0.7749645399659633
103;SY__2014042341703EASB___;2362.738922991618;0.9997883587936716;0.9995767623793432;1.1788143235354416
104;SZ__2014042341703EASB___;2280.516154589883;0.9997807273484263;0.9995615027773483;1.1998799614972004
