Paramètre;VIF;cos_teta;R_2;Teta
0;EX__INST_2014041921_SARL;11558974.464462876;0.9999999567435665;0.9999999134871348;0.016852447641102386
1;EY__INST_2014041921_SARL;50089814.36935209;0.9999999900179306;0.9999999800358613;0.008095579144824958
2;EZ__INST_2014041921_SARL;99269833.50116575;0.9999999949632231;0.9999999899264462;0.005750610950807963
3;EXP_INST_2014041921_SARL;1020750.9775437887;0.9999995101644441;0.9999990203291282;0.056710411824132265
4;EYP_INST_2014041921_SARL;26582260.981251262;0.9999999811904636;0.9999999623809276;0.011112881322078924
5;EZP_INST_2014041921_SARL;94306611.36550698;0.9999999946981447;0.9999999893962895;0.005899993935946077
6;FD_______2014042003_SARL;7725562.177601717;0.9999999352797888;0.9999998705595817;0.020613778040981294
7;FD_______2014042015_SARL;145991.3952891994;0.9999965751347522;0.9999931502812339;0.1499544984406764
8;FD_______2014042103_SARL;1399.4108473068036;0.9996426429334924;0.9992854135710577;1.5317988935250504
9;FS_______2014042009_SARL;83960.07714124469;0.9999940447709693;0.9999880895774034;0.1977366080508339
10;BTS____201404192100_SARL;6710.471245639758;0.9999254868084985;0.9998509791692126;0.6994503786394108
11;BTC____201404192100_SARL;14569.64261388432;0.9999656814794275;0.999931364136616;0.47468242364262614
12;BNS____201404192100_SARL;70.85733582833043;0.9929184937390075;0.9858871352089394;6.822712539867632
13;BNC____201404192100_SARL;133.78955777983037;0.9962557779582358;0.9925255751151697;4.959684253680945
14;BX_____201404192100_SARL;17947718.67182169;0.9999999721413058;0.9999999442826123;0.01352440008133351
15;BY_____201404192100_SARL;8253307.575143563;0.9999999394182258;0.9999998788364555;0.019943832875947386
16;PX_______2014042012_____;165.70603246501057;0.9969780422278542;0.9939652166844852;4.455446722994463
17;PY_______2014042012_____;372.6176472389938;0.9986572404202293;0.9973162838437477;2.969513937835815
18;SX__2014042310002GR4B___;9805.057390977048;0.9999490046075984;0.9998980118157268;0.5786353270517067
19;SY__2014042310002GR4B___;15766.83515114955;0.999968287362461;0.9999365757306135;0.45630471867292627
20;SZ__2014042310002GR4B___;6810.079984801682;0.9999265767277906;0.9998531588465581;0.6943159711460254
21;SX__2014042310003TLSB___;12828.994212217722;0.9999610250238122;0.9999220515666732;0.505861899046013
22;SY__2014042310003TLSB___;75490.38401947079;0.9999933766179316;0.9999867532797324;0.208534432240588
23;SZ__2014042310003TLSB___;20113.75651564739;0.9999751410824519;0.9999502827828695;0.4039983923084986
24;SX__2014042310202REZB___;10087.699615908805;0.9999504334574798;0.9999008693718018;0.5704712171074431
25;SY__2014042310202REZB___;10033.437302427075;0.9999501653876043;0.9999003332586971;0.5720117845693544
26;SZ__2014042310202REZB___;8223.807510734096;0.9999391990632023;0.9998784018231586;0.6318223232210545
27;SX__2014042310317SPJB___;4934.307987274421;0.9998986635336323;0.999797337336344;0.8156881928750804
28;SY__2014042310317SPJB___;3549.0196808059136;0.9998591060994503;0.9997182320499917;0.9618089758630401
29;SZ__2014042310317SPJB___;9522.323158247375;0.9999474904265032;0.9998949836102617;0.5871631288185275
30;SX__2014042310503MEUB___;7453.147071875791;0.9999329119943908;0.9998658284895822;0.6636857590911736
31;SY__2014042310503MEUB___;11682.635140911625;0.9999572005207671;0.9999144028733297;0.5301007535416582
32;SZ__2014042310503MEUB___;6654.0448303643;0.9999248549116025;0.9998497154699895;0.702409941522995
33;SX__2014042312334KIUB___;26606.01406304295;0.9999812070798321;0.999962414512838;0.3512654577298387
34;SY__2014042312334KIUB___;28258.2375554042;0.9999823058878818;0.9999646120888452;0.3408416492092435
35;SZ__2014042312334KIUB___;10528.290352280079;0.9999525077807881;0.9999050178170872;0.5584066491151891
36;SX__2014042312338BADB___;28574.31188452936;0.9999825016127543;0.9999650035317021;0.3389512776051659
37;SY__2014042312338BADB___;18728.061965341418;0.9999733017396258;0.9999466041920487;0.4186779399231396
38;SZ__2014042312338BADB___;9167.914331225445;0.9999454604812843;0.9998909239371278;0.598405056585829
39;SX__2014042312349KRBB___;33694.72312263613;0.9999851607710794;0.9999703217623614;0.31213598129962355
40;SY__2014042312349KRBB___;16778.14433647717;0.9999701988825246;0.9999403986531559;0.44233874712320487
41;SZ__2014042312349KRBB___;9337.448912272226;0.9999464507498388;0.9998929043671997;0.5929475312538306
42;SX__2014042312602DIOB___;24630.355886873644;0.9999796996406614;0.9999593996934274;0.36508183746177236
43;SY__2014042312602DIOB___;28962.786561563324;0.9999827363187277;0.99996547293549;0.336670419167128
44;SZ__2014042312602DIOB___;7932.4562180623225;0.9999369658343781;0.9998739356420622;0.6433212776525619
45;SX__2014042321501EVEB___;493366.9538028965;0.9999989865550387;0.9999979731111046;0.08157136895059448
46;SY__2014042321501EVEB___;231087.86103659382;0.9999978363184518;0.9999956726415853;0.11918850688798244
47;SZ__2014042321501EVEB___;34148.399924373145;0.9999853579183313;0.9999707160510533;0.3100555949511012
